plant_id,plant_name,origin,origin_info,growth_rate,growth_info,height_cm,height_info,light_demand,light_info,co2_demand,co2_info,thumbnail_url
13,Anubias barteri ’Coin Leaf’,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101F/2.png&crop=resize&class=product
14,Anubias barteri caladiifolia,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101U CLP/2.JPG&crop=resize&class=product
15,Anubias barteri caladiifolia,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101U PCS/2.png&crop=resize&class=product
16,Anubias barteri 'Mini Coin',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101B TC/2.png&crop=resize&class=product
17,Anubias barteri nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 CLP/2.JPG&crop=resize&class=product
18,Anubias barteri nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 TC/2.png&crop=resize&class=product
19,Anubias barteri 'Petite',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101H CLP/2.JPG&crop=resize&class=product
20,Anubias barteri 'Petite',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101H/2.png&crop=resize&class=product
21,Anubias barteri sp.,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 YWX/2.png&crop=resize&class=product
22,Anubias barteri var. barteri,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101A/2.png&crop=resize&class=product
23,Anubias barteri var. caladiifolia,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101U XL/2.png&crop=resize&class=product
24,Anubias barteri var. caladiifolia,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101U/2.png&crop=resize&class=product
25,Anubias barteri var. 'Coffeifolia',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101G/2.png&crop=resize&class=product
26,Anubias barteri var. glabra,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101C/2.png&crop=resize&class=product
27,Anubias barteri var. nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 PCS/2.png&crop=resize&class=product
28,Anubias barteri var. nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 YLS/2.png&crop=resize&class=product
29,Anubias barteri var. nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 YWS/2.png&crop=resize&class=product
30,Anubias barteri var. nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101 ZWS/2.png&crop=resize&class=product
31,Anubias barteri var. nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101/2.png&crop=resize&class=product
32,Anubias barteri var. nana,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/510 YCS/2.JPG&crop=resize&class=product
33,Anubias barteri var. nana ’Kirin’,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101K/2.png&crop=resize&class=product
34,Anubias barteri var. nana ’Kirin’,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101K CLP/2.JPG&crop=resize&class=product
35,Anubias barteri var. nana ’Pinto’,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,0 - 5+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101E/2.png&crop=resize&class=product
36,Anubias barteri var. nana ’Pinto’,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,0 - 5+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101E CLP/2.JPG&crop=resize&class=product
37,Anubias barteri var. nana 'Large',Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101L/2.png&crop=resize&class=product
38,Anubias gracilis,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101D CLP/2.JPG&crop=resize&class=product
39,Anubias gracilis,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101D/2.png&crop=resize&class=product
40,Aponogeton boivinianus,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/088 KN/2.png&crop=resize&class=product
41,Aponogeton longiplumulosus,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/089D KN/2.png&crop=resize&class=product
42,Aponogeton madagascariensis,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/089 KN/2.png&crop=resize&class=product
43,Aponogeton ulvaceus,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/086 KN/2.png&crop=resize&class=product
44,Bacopa australis,South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/043A/2.png&crop=resize&class=product
45,Bacopa caroliniana,North America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/043 BDT/2.png&crop=resize&class=product
46,Bacopa caroliniana,North America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/043 MP/2.png&crop=resize&class=product
47,Bacopa caroliniana,North America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/043 TC/2.png&crop=resize&class=product
48,Bacopa caroliniana,North America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/043/2.png&crop=resize&class=product
49,Bacopa monnieri 'Compact',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/044A CLP/2.JPG&crop=resize&class=product
50,Bacopa monnieri 'Compact',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/044A PCS/2.png&crop=resize&class=product
51,Bacopa salzmanni 'Purple',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,0 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/043B/2.png&crop=resize&class=product
52,Blyxa japonica,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/057 TC/2.png&crop=resize&class=product
53,Bolbitis heudelotii,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/006 XL/2.png&crop=resize&class=product
54,Bolbitis heudelotii,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/006 YWS/2.png&crop=resize&class=product
55,Bolbitis heudelotii,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/006/2.png&crop=resize&class=product
56,Bucephalandra 'Kedagang',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139B TC/2.JPG&crop=resize&class=product
57,Bucephalandra 'Kedagang',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139B/2.JPG&crop=resize&class=product
58,Bucephalandra pygmaea 'Bukit Kelam',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139 TC/2.JPG&crop=resize&class=product
59,Bucephalandra pygmaea 'Bukit Kelam',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139/2.png&crop=resize&class=product
60,Bucephalandra pygmaea 'Wavy Green',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139 YLS/2.JPG&crop=resize&class=product
